,text
2019-03-14 19:55:00+00:00,@askslim But model x is the best looking Tesla.
2019-03-14 19:55:00+00:00,idealmagn3t Posted... https://t.co/ORoqcv6qaR
2019-03-14 19:55:00+00:00,@BenObi2000 For the Tesla MCU... Just found it while scrolling through amazon
2019-03-14 19:55:00+00:00,"@Tesla Really need one, working late shift and I’m an SUV guy, hope you’ll reach out :) https://t.co/0M2jPrUoTh"
2019-03-14 19:55:00+00:00,@elonmusk any chance Tesla will offer a software upgrade (for a fee) for the dual motor to achieve acceleration clo… https://t.co/R3dk2qfr3Q
2019-03-14 19:55:00+00:00,@LikeTeslaKim I’m at the meet. But all I see are beautiful Tesla’s
2019-03-15 13:30:00+00:00,"Mercedes, #Volvo, #Tesla lead in rolling out auto emergency braking #Roadshow https://t.co/kem4baJaRB @CNET https://t.co/SHN6POZos8"
2019-03-15 13:30:00+00:00,"Mercedes, Volvo, Tesla lead in rolling out auto emergency braking     - Roadshow https://t.co/iNRYzcFgas"
2019-03-15 13:30:00+00:00,Tesla is set to unveil the Model Y — and one analyst says it could double the company's addressable market https://t.co/EwXapbO1gN
2019-03-15 13:30:00+00:00,Tesla to unveil Model Y SUV as electric vehicle competition heats up https://t.co/4rCpqMWA20
2019-03-15 13:30:00+00:00,Tesla to unveil Model Y SUV as electric vehicle competition heats up https://t.co/0QodX7wlc2
2019-03-15 13:30:00+00:00,@teslainventory @Tesla @elonmusk When is it available in England?
2019-03-15 13:30:00+00:00,Tesla to unveil Model Y SUV as electric vehicle competition heats up https://t.co/eXzZEU78PV #news #technology
2019-03-15 13:30:00+00:00,He only hits back when it personally impacts him or his wallet.  I bailed on elecktrek and @FredericLambert months… https://t.co/QJMryVBeJn
2019-03-15 13:30:00+00:00,@m40dotcom @28delayslater @Tesla @ValueAnalyst1 Nice try
2019-03-15 13:30:00+00:00,"You can't do it all, man."
2019-03-15 13:30:00+00:00,@Tesla @elonmusk This will be a SHOW 💥 I don’t want to miss!!! 🔥😍 Model Y @Tesla ⚔️🖤@elonmusk
2019-03-15 13:30:00+00:00,Tesla to unveil Model Y SUV as electric vehicle competition heats up https://t.co/mxzbAx4wZX https://t.co/jDzktWdjBG
2019-03-15 13:30:00+00:00,"March 14, 2019 / 5:17 AMChina customs lifts suspension on Tesla Model 3 imports https://t.co/wlHZdT4A5t"
2019-03-15 13:30:00+00:00,@JoseppiCorleone @Tesla @elonmusk What they going for?
2019-03-15 13:30:00+00:00,#NowPlaying Tesla - Afterlife  Ecoutez et Suivez nous sur https://t.co/px919HQgKu #vinylestimes  House Of Good Music Tesla - Afterlife
2019-03-15 13:30:00+00:00,Cigabuy-Authentic Tesla WYE 430mAh Pod System Kit New Arrivals https://t.co/RVa7hwDiSN
2019-03-15 13:30:00+00:00,@Tesla @poundsignmatt11 The lights will be turning off everywhere in due time
2019-03-15 13:30:00+00:00,@danahull Mathews mom yelling at him for tweeting Tesla lies all the time.
2019-03-15 13:30:00+00:00,"@elonmusk Elon, suggestion: TESLA should build electric scooters &amp; motorbikes."
2019-03-15 13:30:00+00:00,Tesla to unveil Model Y SUV as electric vehicle competition heats up https://t.co/5D9y5SjLoU
2019-03-15 13:30:00+00:00,Hyped for tonight!
2019-03-15 13:30:00+00:00,Tesla certainly has demand problems in Norway... 😅 https://t.co/ITIgtDVJcp
2019-03-15 13:30:00+00:00,Can't wait!
2019-03-15 13:30:00+00:00,@teslainventory @Tesla @elonmusk At my brothers place it's common for power to go out for 1 day or more. Heat still… https://t.co/adtonPuD63
2019-03-15 13:30:00+00:00,@Tesla @poundsignmatt11 the lights will be turning off at tesla in due time
2019-03-15 13:30:00+00:00,$TSLA Model Y design seems a let down to me. I am no car aficionado but this would not be my choice for a SUV or a… https://t.co/ahquBjVtqW
2019-03-15 13:30:00+00:00,idealmagn3t Posted... https://t.co/iKLq4KasBq
2019-03-15 13:30:00+00:00,"@Tesla Lifted model 3 from the front, smaller model x from back..."
2019-03-15 13:30:00+00:00,"New post: ""Mercedes, Volvo, Tesla lead in rolling out auto emergency braking     - Roadshow"" https://t.co/2ROmzoFczX"
2019-03-15 13:30:00+00:00,super hyped
2019-03-15 13:30:00+00:00,"Same as why @Tesla had to make the electric car not ""just as good,"" but so much better, there needs to be a ""killer… https://t.co/EQKJv2DXb0"
2019-03-15 13:30:00+00:00,Endless Teslas 😂I think I died and went to Tesla heaven https://t.co/cSl8kpz5zy
2019-03-15 13:30:00+00:00,"Mercedes, Volvo, Tesla lead in rolling out auto emergency braking     - Roadshow https://t.co/oV55o7JoKU"
2019-03-15 13:30:00+00:00,"Pulled up to the show in a Tesla last night, tuh"
2019-03-15 13:30:00+00:00,@SuperSaf @Tesla @elonmusk good job :) looks fun as heck 🚗🚗❄️❄️🌨️🌨️
2019-03-15 13:30:00+00:00,"@notslabs @TeslaOpinion @ValueAnalyst1 Profitable both those quarters, but I'm sure your ignorance will cause you t… https://t.co/CilijoSpOq"
2019-03-15 13:30:00+00:00,"My first tweet. If you drop that Tesla on me, I’ll have it wrapped with Tron TRX inspired custom car wrapping. I’ll… https://t.co/jdxd1PCvHM"
2019-03-15 13:30:00+00:00,idealmagn3t Posted... https://t.co/pBArAtMl1r
2019-03-15 13:30:00+00:00,idealmagn3t Posted... https://t.co/DSGZzZV5VM
2019-03-15 13:30:00+00:00,@teslainventory @elonmusk @Tesla I thought powerwalls weren’t allowed in CO?? Do tell!!
2019-03-15 13:30:00+00:00,Tesla Model Y livestream: How to watch Elon Musk's big EV reveal - #SlashGear https://t.co/6pVZfoc7g4 @slashgear https://t.co/gu020Ac06S
2019-03-15 13:30:00+00:00,Tesla to unveil Model Y SUV as electric vehicle competition heats up - https://t.co/CWZyrbQ28Y https://t.co/CTJc08seVQ
2019-03-15 13:30:00+00:00,Tesla Model Y livestream: How to watch @ElonMusk's big EV reveal https://t.co/ck7qwg5PsV https://t.co/5FmV39P5l3
